price,manufacturer,color,had_accident,resold,automatic_transmission
105200,ford,white,1,0,1
9200,renault,white,1,1,1
8200,renault,white,1,1,0
38200,bmd,white,0,0,1
145200,ford,black,0,1,1
3200,renault,black,0,0,1
39200,bmd,white,0,0,1
42200,renault,black,0,1,0
22200,ford,white,1,1,1
27200,renault,white,1,1,0
28200,renault,white,1,0,1
21200,renault,white,1,1,0
92200,bmd,white,1,1,0
9200,ford,white,1,1,1
37200,ford,black,1,1,1
108200,toyota,white,1,0,0
41200,renault,white,0,1,1
65200,renault,white,0,1,1
7200,bmd,white,0,1,0
126200,bmd,red,1,1,1
106200,ford,white,0,1,1
50200,ford,black,1,1,1
65200,renault,white,0,1,1
32200,bmd,white,1,1,1
8200,renault,white,1,0,1
53200,renault,white,0,0,1
164200,bmd,white,1,1,1
22200,renault,white,1,1,0
68200,renault,red,1,1,1
35200,renault,white,0,1,0
23200,ford,white,1,1,1
3200,renault,white,1,1,0
121200,volvo,white,1,0,1
98200,bmd,red,1,1,1
109200,renault,white,0,0,0
12200,renault,red,0,1,1
61200,renault,white,0,1,1
11200,renault,white,1,0,1
81200,ford,white,1,1,1
28200,ford,white,1,1,1
37200,renault,white,0,1,1
20200,renault,white,0,1,1
66200,renault,black,1,1,1
4200,renault,red,1,1,1
42200,renault,white,0,1,1
64200,ford,white,1,1,0
70200,renault,white,0,1,1
205200,bmd,white,1,0,1
33200,renault,white,1,0,1
3200,renault,black,0,1,0
152200,toyota,white,0,1,1
62200,renault,white,1,1,1
28200,bmd,white,0,1,1
8200,renault,white,1,1,0
45200,renault,black,0,0,1
17200,renault,white,0,1,1
121200,renault,red,1,1,1
13200,renault,white,1,1,0
21200,bmd,red,0,1,1
118200,ford,white,0,0,1
116200,bmd,white,1,0,1
126200,bmd,white,1,1,1
25200,bmd,white,0,1,1
94200,bmd,white,1,1,1
46200,ford,white,1,1,0
154200,bmd,white,0,1,0
3200,renault,black,1,1,1
109200,renault,white,0,1,1
97200,bmd,red,1,1,1
80200,renault,red,1,1,1
53200,bmd,white,0,0,1
37200,renault,white,1,1,1
11200,renault,black,0,1,1
20200,bmd,white,0,1,1
103200,renault,white,1,1,0
10200,renault,red,0,1,1
34200,renault,white,0,1,1
33200,bmd,white,0,1,0
49200,renault,white,1,0,1
167200,ford,white,0,0,1
43200,bmd,red,1,0,1
6200,renault,white,1,1,0
27200,renault,white,0,1,0
19200,ford,white,1,0,1
41200,renault,white,1,0,1
122200,bmd,white,1,1,1
41200,renault,white,1,1,1
124200,volvo,white,1,1,1
203200,ford,white,0,0,1
63200,renault,black,0,1,1
58200,renault,white,0,1,1
160200,renault,red,1,1,1
22200,bmd,white,0,1,1
104200,renault,white,0,1,1
15200,ford,white,1,1,0
45200,renault,white,1,0,1
28200,renault,white,0,1,1
21200,bmd,white,0,1,1
122200,renault,white,0,1,0
151200,bmd,red,1,0,1
75200,renault,white,1,1,1
51200,renault,white,0,0,1
15200,renault,black,1,1,0
2200,ford,white,1,1,1
120200,renault,black,1,1,1
118200,volvo,white,0,0,1
16200,ford,red,1,1,1
37200,renault,red,0,0,1
54200,ford,white,0,1,0
53200,renault,white,1,1,0
25200,bmd,red,0,1,0
101200,ford,white,1,0,0
106200,renault,white,0,1,0
4200,bmd,white,0,1,1
9200,renault,red,0,1,1
92200,renault,white,0,0,1
48200,renault,red,0,1,1
233200,renault,white,0,1,1
102200,ford,white,1,0,1
110200,ford,red,0,0,1
290200,volvo,black,1,1,1
75200,bmd,red,0,1,1
56200,renault,white,1,1,1
39200,bmd,white,1,1,1
51200,renault,white,0,1,1
83200,renault,red,1,0,1
107200,renault,white,0,1,1
50200,renault,white,0,1,1
94200,ford,white,0,1,1
69200,renault,white,1,1,1
197200,volvo,red,1,1,1
86200,renault,black,1,1,1
92200,bmd,white,0,1,1
84200,ford,white,0,1,1
155200,bmd,white,1,0,1
48200,bmd,white,0,1,1
83200,renault,white,1,1,1
34200,bmd,black,0,1,1
50200,renault,white,1,1,1
33200,bmd,red,0,1,1
52200,renault,black,1,0,1
9200,renault,white,0,1,1
34200,ford,white,1,1,0
111200,ford,white,0,1,0
89200,renault,white,0,1,1
12200,renault,white,0,1,1
1200,bmd,white,0,1,1
85200,bmd,white,1,1,1
124200,bmd,white,1,0,1
71200,ford,white,1,1,1
57200,renault,white,0,1,1
58200,bmd,white,0,1,1
7200,renault,red,1,0,1
58200,ford,white,0,0,1
17200,renault,white,1,1,1
67200,renault,red,0,0,1
151200,ford,white,0,1,1
79200,bmd,white,1,1,1
6200,bmd,white,0,0,0
37200,renault,white,0,1,1
6200,bmd,white,0,1,1
103200,bmd,red,1,1,1
49200,renault,red,1,1,0
36200,renault,white,1,0,0
80200,bmd,white,1,0,1
173200,renault,red,1,0,1
49200,renault,black,1,1,1
192200,bmd,white,1,1,1
13200,renault,white,0,1,1
50200,bmd,black,0,1,1
192200,volvo,red,1,1,0
119200,bmd,white,1,0,1
60200,renault,red,0,0,0
73200,bmd,white,0,1,1
58200,ford,red,0,0,1
54200,ford,white,0,1,0
141200,toyota,white,1,1,1
74200,bmd,white,1,0,1
25200,ford,white,1,1,1
32200,bmd,white,1,1,1
12200,renault,white,1,0,1
59200,ford,white,1,1,0
29200,renault,white,1,1,1
18200,ford,white,1,1,1
33200,renault,white,0,0,1
81200,ford,white,1,1,1
6200,ford,black,1,0,1
6200,renault,white,1,1,1
8200,renault,white,0,0,1
139200,bmd,red,1,0,1
61200,renault,white,0,1,1
118200,renault,white,0,1,1
64200,ford,black,0,1,0
138200,renault,white,1,0,1
31200,bmd,white,0,1,1
20200,renault,black,1,1,1
42200,renault,red,0,0,1
32200,bmd,white,0,1,0
113200,bmd,black,0,1,1
11200,renault,red,1,1,1
2200,ford,red,1,1,1
73200,renault,white,0,1,1
177200,ford,black,0,0,1
30200,renault,white,1,1,1
82200,ford,black,0,1,1
63200,renault,red,1,0,0
142200,bmd,white,1,1,1
3200,renault,black,0,1,1
141200,renault,white,1,1,1
45200,bmd,white,1,0,1
15200,ford,white,1,1,1
18200,bmd,red,0,1,1
126200,renault,white,0,1,1
1200,renault,white,1,0,1
96200,renault,white,1,0,1
39200,renault,white,0,1,1
21200,renault,black,1,1,1
196200,bmd,red,1,1,1
103200,renault,white,0,0,1
12200,renault,white,0,1,1
